passage_id,chapter,section,subsection,page,text,word_count,cluster,cluster_name,x,y,neighbors,section_novelty
p00011,Part 1: General Information,Who We Are,,11,"Feng Youmei, Duke Kunshan University Chancellor, is a professor, the former Executive Vice President of Wuhan University and the Vice Chairwoman for the Medical Education Committee of the China Association of Higher Education. She has profound expertise in medical education as well as abundant experience in university administration . Executive Vice Chancellor Al Bloom is a recognized global education leader and a scholar of psychology and language with a special focus on Chinese language and culture. Prior to joining DKU, Dr. Bloom",82,4,Student Life & Support,1.0401404,11.396806,p00003;p00001;p00008;p00010;p00007,0.3068840503692627
p00012,Part 1: General Information,Who We Are,,12,"served as the founding vice chancellor of NYU-Abu Dhabi for more than a decade and president of Swarthmore College for 18 years. Duke Kunshan University is a place for learning, living and self-discovery, in a setting that encourages the pursuit of knowledge within and beyond the classroom. Kunshan is located in close proximity to both Shanghai and Suzhou, two of the most developed metropolitan areas in China. Connected to both by high-speed rail and highways, the city of Kunshan is a center for business and high-tech research and manufacturing, and it has one of the fastest-growing economies in China.",99,4,Student Life & Support,0.98522586,11.400335,p00003;p00007;p00008;p00084;p00028,0.16991716623306274
p00013,Part 1: General Information,Who We Are,,12,"The 200-acre campus is in the Yangcheng Lake Science Park and features state-of-the-art classroom and meeting facilities, library resources, student and faculty housing and dining space, and recreational facilities. Multipurpose meeting spaces, breakout rooms and study areas allow students to work individually or in groups to review course materials, complete assignments and participate in the vibrant intellectual life of the campus.",61,1,Majors & Courses — Topic 2,1.3883373,11.370283,p00378;p00382;p00376;p00375;p00003,0.3933967351913452
p00014,Part 1: General Information,Partners,Duke University,12,"A private comprehensive teaching and research university, Duke traces its roots to 1838, and officially became Duke University in 1924. In addition to liberal arts and engineering education at the undergraduate level, Duke offers graduate and professional study in arts and sciences, business, divinity, engineering, the environment, law, public policy, medicine and nursing. Duke enrolls more than 15,000 students in its undergraduate, graduate, and professional programs. Duke’s home campus is situated on nearly 9,000 acres in Durham, North Carolina, USA, a city of more than 200,000 people.",87,4,Student Life & Support,0.79733473,10.72185,p00015;p00350;p00349;p00007;p00353,0.45271873474121094
p00015,Part 1: General Information,Partners,Duke University,12,"Duke also is active internationally through the Duke-NUS Graduate Medical School in Singapore, Duke Kunshan University in China and numerous research and education programs across the globe. More than 75 percent of Duke students pursue servicelearning opportunities in Durham and around the world through DukeEngage and other programs that advance the university’s mission of “knowledge in service to society.”",59,4,Student Life & Support,0.9375364,11.199619,p00084;p00003;p00007;p00008;p00014,0.255679190158844
p00016,Part 1: General Information,Partners,Wuhan University,12,"Located in Central China’s Hubei province, Wuhan University consistently ranks among the country’s top 10 universities and is a key comprehensive national university under the direct administration of the Ministry of Education. The college’s history can be traced back to the Ziqiang Institute founded in 1893 by Zhang Zhidong, governor-general of Hubei and Hunan provinces in the late Qing dynasty (1644-1911). In 1928, the institute was renamed as Wuhan National University. Its campus is regarded as one of the most beautiful in the country, boasting palatial buildings that blend Eastern and Western architectural styles.",94,4,Student Life & Support,1.0760608,11.298286,p00007;p00008;p00003;p00011;p01061,0.3372623920440674
p00017,Part 1: General Information,Partners,Wuhan University,13,"The university enjoys partnerships with more than 400 universities and research institutes in over 45 countries and regions, while its more than 300,000 alumni includes at least 100 members of the Chinese Academy of Science and the Chinese Academy of Engineering.",41,1,Majors & Courses — Topic 2,1.8630234,10.314991,p00004;p00073;p01061;p00076;p00072,0.360819935798645
p00018,Part 1: General Information,Partners,Kunshan,13,"Kunshan is located in the southeastern part of Jiangsu province, a satellite city in the greater Suzhou region and adjacent to Shanghai, two of the most developed metropolitan areas in China. Kunshan is regarded as one of the country's most economically successful county-level administrations. It ranked No 1 in the 25 Best County-level Cities in China study by Forbes China for the ninth year running in 2009.",67,4,Student Life & Support,1.0699337,11.492977,p00012;p00084;p00007;p00003;p00028,0.3614652752876282
p00019,Part 1: General Information,Partners,Kunshan,13,"With an immigrant population larger than the number of its permanent residents, Kunshan was winner of the 2010 UN-Habitat Scroll of Honor Award, the most prestigious award given by the United Nations, along with Singapore and Vienna in recognition of work carried out in the field of human settlements development, for the city's innovative approach to granting migrants the right to essential services. It also has received titles and awards such as a National Hygiene City, Excellent Tourism City of China and National Garden City, as well as National Model City of Environment Protection and National Model Zone of Ecology.",100,4,Student Life & Support,1.044341,11.474612,p00001;p00028;p00005;p00012;p00018,0.4076462984085083
p00020,Part 1: General Information,Partners,Kunshan,13,"Kunshan is culturally significant as the origin of Kunshan diao , the melody that ultimately evolved into Kunqu Opera, one of China's oldest extant theatre arts, which has been listed as UNESCO as World Intangible Culture Heritage. It has also been home to famous figures including Zu Chongzhi, Gu Yanwu, Gui Youguang, Gong Xian and Zhu Bailu.",57,0,Majors & Courses,1.5000945,11.519541,p00373;p01174;p01196;p01102;p01036,0.4593162536621094
p00021,Part 1: General Information,Duke Kunshan University Community Standard,,13,"All Duke Kunshan University students are required to hold themselves to the highest standards for honesty, integrity, fairness, and responsibility in their academic and co-curricular endeavors. Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust.",87,4,Student Life & Support,1.0298674,11.280431,p00001;p00003;p00005;p00084;p00028,0.11856633424758911
p00022,Part 1: General Information,Duke Kunshan University Community Standard,,13,"To uphold the Community Standard, each student is expected to pledge to hold him/herself to the highest standards for honesty, integrity, fairness, and responsibility in his/her academic and non-academic endeavors, to respect other cultures and embrace all forms of diversity, and to uphold the standards if they are compromised.",49,3,Academic Procedures,1.9208335,11.312552,p00119;p00006;p00524;p00120;p00021,0.11856621503829956
p00023,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,,14,"The Duke Kunshan University curriculum begins from liberal arts principles and is imbued with the hallmarks of a Duke education blended with Chinese tradition: interdisciplinary approaches, engagement with research questions, problem-based and team-based learning, and opportunities for students to craft individual pathways and deepen their intellectual engagement over time. It is a kind of education that builds critical thinking and problem-solving skills, simultaneously conferring a broad base of knowledge and fostering the ability to interrogate that knowledge and apply it flexibly.",81,4,Student Life & Support,1.3183466,11.520991,p00028;p00009;p00032;p00003;p00039,0.11436402797698975
p00024,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,,14,It is also deeply cross-cultural in its orientation: Duke Kunshan University gives all participants the continual experience of learning to see from multiple points of view and to work together across cultural boundaries—a crucial skill for the future.,38,4,Student Life & Support,1.1085808,11.443409,p00003;p00028;p00005;p00009;p00032,0.1619451642036438
p00025,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,A Liberal Arts College Experience,14,"The small-scale residential setting at Duke Kunshan University offers significant opportunities for innovative and integrated forms of learning, an especially close connection between faculty and students, and the intermixing of students with different interests. In addition, Duke Kunshan University offers creative alignments between its undergraduate curriculum and selected areas of research strength at Duke Kunshan University and at Duke. Liberal arts colleges provide direct access to research opportunities for undergraduates – they leverage their small size and commitment to teaching to provide opportunities for one-on-one and small team-based scholarly mentoring. In the United States, liberal arts colleges disproportionately produce students who go on to earn PhD’s.",106,4,Student Life & Support,1.2476295,11.594103,p00032;p00028;p00009;p00003;p00023,0.1729225516319275
p00026,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,A Liberal Arts College Experience,14,Duke Kunshan University offers the same kinds of focus on discovery and the co-creation of knowledge as at liberal arts colleges with the added dimension of research centers on site and connections to a major research university in the United States and to Wuhan University in China.,47,4,Student Life & Support,1.0547842,11.541003,p00003;p00028;p00032;p00023;p00008,0.13553953170776367
p00027,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,Dual Degrees,14,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.,92,4,Student Life & Support,1.3513105,9.9460945,p00070;p00045;p00145;p00007;p00072,0.23297780752182007
p00028,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,14,"Duke Kunshan University provides a 21st century liberal arts and sciences education that helps students develop a sense of social responsibility and global citizenship, as well as strong and transferable intellectual and practical skills such as communication, analytical and problem-solving skills, and a demonstrated ability to apply knowledge and skills in real-world settings.",53,4,Student Life & Support,1.1166592,11.439327,p00003;p00023;p00032;p00008;p00009,0.34793299436569214
p00029,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,"The overarching goals are embedded in the seven animating principles that are expressed throughout the curriculum: • Rooted Globalism: To cultivate informed and engaged citizens who are knowledgeable about each other’s histories, traditions of thought and affiliations; and skilled in navigating among local, national and global identities and commitments . • Collaborative Problem-Solving: To instill the habits of collaboration and the ability to synthesize disparate insights in solving complex challenges. • Research and Practice : To enhance the ability to forge links between theory and practice in the many-sided and rapidly changing world of human need.",96,3,Academic Procedures,4.441406,9.593942,p00047;p01012;p00562;p00523;p00035,0.2417912483215332
p00030,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,"• Lucid Communication: To develop the ability to communicate effectively, both orally and in writing, and to listen attentively to different viewpoints in coming to mature judgments. • Independence and Creativity: To nurture free inquiry, deep reflection and a drive to ask interesting questions and find compelling answers. • Wise Leadership : To shape thinkers and doers who possess the moral compass to guide communities and institutions toward a common good and who have the wisdom and technical competence to deal effectively with complexity.",84,3,Academic Procedures,6.16498,9.732105,p00371;p00523;p01354;p00370;p00524,0.2661198377609253
p00031,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,,15,"• A Purposeful Life: To form reflective scholars who test their core beliefs, connect their course of study to big questions of meaning, and who build the capacity for lifelong learning and exploration.",33,3,Academic Procedures,4.4783936,9.592085,p00365;p00035;p01403;p00047;p00065,0.2211875319480896
p00032,Part 3: The Curriculum,Overview,,16,"The Duke Kunshan University undergraduate curriculum can be described as a “research-inflected liberal arts experience” that builds on the unique DNA of Duke as a major research university but with a strong liberal arts philosophy, structure and orientation. The curriculum does not rely on traditional majors housed in departments, but rather is built on interdisciplinary and disciplinary components in and across three thematic areas: (1) natural and applied sciences, (2) social sciences, and (3) arts and humanities. Flexibility and inter-disciplinarity are hallmarks of this curriculum, along with signature work that enables students to engage scholarship both individually and within a community of learners.",103,4,Student Life & Support,1.386483,11.573492,p00003;p00023;p00028;p00025;p00008,0.2244054079055786
p00033,Part 3: The Curriculum,Overview,,16,"This curriculum is designed to be compatible with the quality and depth of a Duke undergraduate degree but is unique and distinct from the current Duke undergraduate experience, which is aligned more with a traditional major’s structure. The curriculum fosters learning communities of students and faculty whose intellectual interactions revolve around two groups: (1) The interdisciplinary community, which spans laterally a variety of disciplines. To the big questions at the core of each interdisciplinary community will be deployed a variety of disciplines, voices, viewpoints and expertise, usually also from a variety of divisions. The deep expertise brought to bear on discussion will be provided by both faculty and advanced students.",110,3,Academic Procedures,1.8150489,11.556278,p00032;p00023;p00061;p00036;p00034,0.16246354579925537
p00034,Part 3: The Curriculum,Overview,,16,"(2) The disciplinary specialization, which is akin to, or even entirely aligned to, a traditional vertical discipline. From this community comes the training in the methods, knowledge, and skills of a specific discipline. Individual courses that belong to an interdisciplinary community or disciplinary specialization may be taken at various stages of a students’ career. But the interdisciplinary community comes first in a students’ overall development – it provides a broad intellectual home and is followed by or is in parallel to more specialized work. The dual structure is also flexible, to accommodate a variety of student goals and outcomes.",99,3,Academic Procedures,4.960694,9.386455,p00061;p00984;p00877;p00035;p00058,0.24049079418182373
p00035,Part 3: The Curriculum,Overview,,16,"Some students might choose to pursue a less deep path in the disciplinary specialization while focusing more on developing broad expertise in the questions underlying the interdisciplinary community— and in that case the outcome can be a powerful kind of integrative education for students whose goal is not graduate school or specialized study, which is where a great many careers and life paths lie. This approach allows for a highly integrative, team-based approach to problem solving and knowledge acquisition. For students oriented towards graduate study, the integrative and out-looking approach in the interdisciplinary community broadens and enriches their deeper specialist expertise.",101,3,Academic Procedures,4.890144,9.378543,p00034;p00061;p00984;p00877;p00033,0.2375326156616211
p00036,Part 3: The Curriculum,Overview,,16,"Our strong expectation is that a student with deep expertise who also has interacted in a significant, deep way with an interdisciplinary group focused on big questions will be more, not less, appealing to graduate schools or other specialty pursuits. For certain disciplines, students oriented towards graduate school may also need to use some electives, guided independent studies, research, online courses and Study Abroad courses to deepen expertise beyond the number of courses required for the disciplinary specialization. To ensure that Duke Kunshan University students develop the ability to communicate effectively, guided practice in writing and speaking are built into the fabric of the curriculum.",105,4,Student Life & Support,1.5905734,11.639643,p00039;p00023;p00326;p00032;p00003,0.1819496750831604
p00037,Part 3: The Curriculum,Overview,,16,"All three Divisional Foundations sequences provide opportunities for students to practice the specialized discourse of their chosen field, while Common Core courses help students learn to communicate",27,3,Academic Procedures,3.6901996,9.22766,p00060;p00048;p00047;p00042;p00058,0.3329203724861145
p00038,Part 3: The Curriculum,Overview,,17,"as scholars and professionals to broader audiences. Toward the end of their undergraduate studies, all students take on more advanced writing and speaking challenges as part of their signature work and capstone projects.",33,3,Academic Procedures,3.3654523,9.99189,p00065;p00064;p00041;p00066;p01451,0.33814287185668945
p00039,Part 3: The Curriculum,Key Components,,17,"The Duke Kunshan University undergraduate curriculum emphasizes shared knowledge and experience, integrated learning and deep learning, and flexible pathways. The key components are:",23,4,Student Life & Support,1.2504245,11.427062,p00003;p00023;p00028;p00032;p00009,0.2556527853012085
p00040,Part 3: The Curriculum,Key Components,Structures,17,"• Divisional areas of knowledge organize the faculty and the curriculum – Natural and Applied Sciences; Social Sciences; and Arts and Humanities – rather than traditional majors or departments. • Intensive 7-week terms enable students to take two in-depth courses with the flexibility to take some courses in 14-week blocks. • Fridays are designed for practica, field trips, internships, co-curricular activities, and civic engagement . • Mini-term courses provide a focused exposure to a single topic while enabling students to move outside of their comfort zones. There are no grades for these non-credit courses.",94,7,Academic Procedures — Topic 2,2.6699681,9.104062,p00401;p00081;p00042;p00082;p00161,0.26994532346725464
p00041,Part 3: The Curriculum,Key Components,Structures,17,"• Seminars of fewer than 20 students are the primary mechanism for instruction and the means by which excellence in writing, speaking and listening are nurtured , supplemented by courses in English for Academic Purposes.",35,3,Academic Procedures,3.6331973,10.205206,p00036;p01457;p00038;p00912;p01460,0.43508976697921753
p00042,Part 3: The Curriculum,Key Components,Core Components,17,"• Common Core courses required of all students focus on big questions and critical challenges. Students take one per year for three years . • Language courses required in English, Chinese or potentially a third language. • Majors that have interdisciplinary and disciplinary components , with the former serving as the entry point and primary definition of a students’ academic community and the latter providing specialized training, as well as divisional foundation courses that prepare students for advanced study and signature work that focuses on a question, problem or issue and includes independent research, a senior thesis or creative production.",100,1,Majors & Courses — Topic 2,3.124408,8.973091,p00058;p00048;p00043;p00040;p00044,0.19178318977355957
p00043,Part 3: The Curriculum,Key Components,Core Components,17,"• Electives that broaden students’ educational experience via simple distributional requirements and additionally enable them either to develop greater specialized knowledge or to further increase the breadth of their study. • Experiential learning opportunities that align the formal curriculum with practica, internships and other hands-on offerings are required. These components are reflected in specific requirements: • General Education : 3 common core courses (12 credits), 2-4 language courses (8-16 credits) depending on proficiency, 3 electives (12 credits) as distributional requirements, and one Quantitative Reasoning course (4 credits)",87,3,Academic Procedures,2.9028943,8.851777,p00499;p00042;p00080;p00049;p00058,0.23136121034622192
p00044,Part 3: The Curriculum,Key Components,Core Components,18,"• Major : 16-19 courses (64 to 76 credits) (foundation, interdisciplinary, disciplinary, and capstone) • Electives : 8-13 courses (32 to 52 credits) depending on division and language proficiency, which include the three electives as distributional requirements and one Quantitative Reasoning course in General Education • Other requirements : 1 non-credit mini-term course and 1 Signature Work project that includes a practice-oriented Experiential Learning component (internships, civic engagement, etc.) Students who complete Duke Kunshan University’s 4-year undergraduate curriculum will receive two degrees, one from Duke University and one from Duke Kunshan University.",92,4,Student Life & Support,1.5747449,9.602146,p00077;p00072;p00078;p00045;p00070,0.13867288827896118
p00045,Part 3: The Curriculum,Key Components,Core Components,18,"A total of 136 Duke Kunshan University credits is required for graduation with a Duke Kunshan University bachelor’s degree, 1 which is equivalent to 34 Duke University course credits (1 Duke course credit is equivalent to 4 Duke Kunshan University credits). A total of 34 Duke University course credits is required for graduation with a Duke bachelor’s degree. More details on the course credit requirement are explained below in the Degree Requirement section. 1 There are additional MOE requirements for the Chinese mainland and Hong Kong, Macau, Taiwan students to obtain a Duke Kunshan University bachelor’s degree. See section on Credits Required for Degrees.",104,4,Student Life & Support,1.5933114,9.666881,p00070;p00072;p00077;p00071;p00027,0.33290040493011475
p00046,Part 3: The Curriculum,Key Components,"Military Training a,c",19,a s tudents from Chinese Mainland and HMT b o ptional for international students c students from HMT may substitute additional CHSC courses for military training,26,1,Majors & Courses — Topic 2,2.2603967,9.786822,p00815;p00076;p00075;p00816;p01474,0.4272376298904419
p00047,Part 3: The Curriculum,Degree Requirements,"Common Core (3 courses, 12 credits)",20,"Common Core courses provide opportunities for students to develop a degree of common knowledge and shared experiences. One dimension of this commonality is a set of core courses that focus on big questions and critical challenges with which every student should be prepared to engage. Engagement will draw from and integrate humanistic and scientific knowledge, including its historical context and cultural traditions of thought about value, the nature of reality, and what it is to be human. Such knowledge is both a means for addressing challenges and a pre-requisite for identifying what our challenges are and how we might address them.",101,3,Academic Procedures,4.218586,9.426595,p00048;p00037;p01011;p00061;p00029,0.4406995177268982
p00048,Part 3: The Curriculum,Degree Requirements,"Common Core (3 courses, 12 credits)",20,"Common Core courses also provide regular instruction and guided practice in writing and speaking for non-specialist audiences. Students take these courses one per year, in sequence, so that the common experience and development of communication skills extend across time. The three common core courses are China in the World (Year 1), Global Challenges in Science, Technology and Health (Year 2), and Ethics, Citizenship and the Examined Life (Year 3). In order to promote the common experience among the same class of students, these three common core courses must be taken during the Fall or Spring term in the designated year of study.",102,1,Majors & Courses — Topic 2,3.7936192,9.301072,p00042;p00037;p00047;p00788;p00771,0.3458603024482727
p00049,Part 3: The Curriculum,Degree Requirements,"Distribution Requirement (3 courses, 12 credits)",20,"The distributional requirement is intended to broaden students’ educational experience and ensure that all graduates have an acquaintance with a broad variety of fields of inquiry and approaches to knowledge. Students are required to take at least one four-credit course 2 in each of the three divisional areas: arts and humanities, natural and applied sciences, and social sciences. Courses that fulfill the distribution requirement are designated by divisional area attributes. The distribution requirement cannot be fulfilled with AP or IPC credits. 1. Courses with two divisional area attributes can be only counted as one area attribute; 2.",97,7,Academic Procedures — Topic 2,2.5133893,8.777881,p00050;p00080;p00043;p00132;p00058,0.3002973794937134
p00050,Part 3: The Curriculum,Degree Requirements,"Distribution Requirement (3 courses, 12 credits)",20,Courses with both a Quantitative Reasoning (QR) attribute and a divisional area attribute can only be counted as one of these attributes; 3. Transfer credit from Duke or other academic institutions through study abroad or summer programs will need the review and approval from the division chair to fulfil the distributional requirement. 2 A student may fulfil the distribution requirement in a divisional area by taking two two-credit courses (four credits in total) with that divisional area attribute.,78,7,Academic Procedures — Topic 2,2.2931945,8.721137,p00051;p00049;p00147;p00132;p00146,0.36378103494644165
p00051,Part 3: The Curriculum,Degree Requirements,"Quantitative Reasoning Course Requirement (1 course, 4 credits)",21,"The Quantitative Reasoning (QR) requirement aims to ensure that all students graduate with critical skills in quantitative analysis and deductive reasoning. The QR requirement can be fulfilled by taking a course with the Quantitative Reasoning (QR) attribute 3 or by approved transfer credit from study abroad or summer programs for computer science, mathematics, or statistics courses. Transfer credit requires the review and approval from the appropriate division chair to fulfil the distributional requirement. The QR requirement cannot be fulfilled by AP or IPC credits.",84,5,Majors & Courses — Topic 3,2.4859343,8.422559,p00050;p00132;p01239;p01081;p01144,0.47419196367263794
p00052,Part 3: The Curriculum,Degree Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,"One of Duke Kunshan University’s goals is for students to graduate with strong skills in multiple languages, especially English and Chinese. To this end, all students are required to take 8-16 credits of foreign language courses appropriate to their needs. Duke Kunshan University’s medium of instruction is English, so it is imperative that all students have a strong command of English. Further, the ability to produce effective academic papers and presentations in English is especially important.",76,4,Student Life & Support,2.5292156,10.405077,p00053;p00071;p00070;p00056;p00044,0.32059288024902344
p00053,Part 3: The Curriculum,Degree Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,"Students whose secondary education was not in English medium schools will generally benefit from instruction in academic English skills, and will therefore be assigned to the English for Academic Purposes (EAP) track at Duke Kunshan University and be required to take two course sequences, EAP 101A and 101B and EAP 102A and 102B. Students can further develop their academic English skills by taking elective EAP courses and/or written and oral communication (WOC) courses. Students at Duke Kunshan University should also attain a high level in Chinese, not only because Duke Kunshan University is located in China, but also because Chinese is already one of the world’s most important global languages.",110,4,Student Life & Support,2.852273,10.538811,p00056;p00052;p00136;p00054;p00151,0.30798017978668213
p00054,Part 3: The Curriculum,Degree Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,"For this reason, students who are not required to be in the EAP track and who do not yet have a strong academic and professional command of Chinese will be assigned to a Chinese as Second Language (CSL) track, and assigned to a course appropriate to their Chinese level based on the results of a Duke Kunshan University placement examination process. All CSL-track students are required to meet two criteria: they must take at least eight credits of Chinese language courses (normally four 2-credit courses), and they must successfully complete CHINESE 202B or a higher level course.",97,1,Majors & Courses — Topic 2,2.947591,10.460409,p00138;p00137;p00398;p00055;p00056,0.32861006259918213
p00055,Part 3: The Curriculum,Degree Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,"That is to say, students who begin their Chinese study in CHINESE 101A are required to take Chinese courses until they complete CHINESE 202B; students who begin studying Chinese in CHINESE 201A or a higher-level course are required to take 8 credits, starting with and including whatever level course they are placed into. After satisfying their foreign language requirement, CSL-track students are encouraged to continue developing their Chinese language skills by taking higher level elective courses in Chinese, and 3 Courses with more than one attribute can only be counted as one of these attributes.",95,1,Majors & Courses — Topic 2,2.9499552,10.311124,p00054;p00138;p00398;p00227;p00771,0.33513689041137695
p00056,Part 3: The Curriculum,Degree Requirements,"Language Courses (2-4 courses, 8-16 credits)",22,also by designing and carrying out Chinese learning plans either on their own or with guidance and support from the Writing and Language Studio. Students who enter Duke Kunshan University with such a strong command of both English and Chinese that they can readily do academic work in both languages - and that no appropriate EAP and CSL courses are offered for them - will not be assigned to either the EAP track or the CSL track. These students can satisfy their foreign language requirement in several ways. One option is to take advanced written and oral communication (WOC) courses.,100,1,Majors & Courses — Topic 2,3.0145795,10.561786,p00053;p00054;p00052;p00137;p00151,0.2931828498840332
