query,passage_id,chapter,section,subsection,page,cluster_name,text
credit,p00054,Part 3: The Curriculum,Degree Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,Majors & Courses — Topic 2,"For this reason, students who are not required to be in the EAP track and who do not yet have a strong academic and professional command of Chinese will be assigned to a Chinese as Second Language (CSL) track, and assigned to a course appropriate to their Chinese level based on the results of a Duke Kunshan University placement examination process. All CSL-track students are required to meet two criteria: they must take at least eight credits of Chinese language courses (normally four 2-credit courses), and they must successfully complete CHINESE 202B or a higher level course."
credit,p00055,Part 3: The Curriculum,Degree Requirements,"Language Courses (2-4 courses, 8-16 credits)",21,Majors & Courses — Topic 2,"That is to say, students who begin their Chinese study in CHINESE 101A are required to take Chinese courses until they complete CHINESE 202B; students who begin studying Chinese in CHINESE 201A or a higher-level course are required to take 8 credits, starting with and including whatever level course they are placed into. After satisfying their foreign language requirement, CSL-track students are encouraged to continue developing their Chinese language skills by taking higher level elective courses in Chinese, and 3 Courses with more than one attribute can only be counted as one of these attributes."
credit,p00057,Part 3: The Curriculum,Degree Requirements,"Language Courses (2-4 courses, 8-16 credits)",22,Majors & Courses — Topic 2,"(Because the content of different sections of some WOC courses differ considerably, in some cases students are allowed to take more than one WOC course of the same course number if the course content of the two courses is different.) Another option is to take courses in an additional language. More information on language placement is in the Entrance Credit and Placement sections of Part 6."
credit,p00070,Part 3: The Curriculum,Undergraduate Signature Work,Credits Required for Degree,24,Student Life & Support,"Duke Kunshan University adheres to the academic standards upheld by Duke University and the relevant requirements for graduation and degree awarding by the education administration authorities of China. All undergraduate students must meet the requirements of both Duke University and Duke Kunshan University before they can graduate and be awarded a graduation certificate and a bachelor’s degree from Duke Kunshan University, as well as a bachelor’s degree from Duke University. A total of 136 Duke Kunshan University credits is required for international students to graduate and obtain the degrees, inclusive of 34 Duke Kunshan University credits earned through courses taught or co-taught by Duke faculty (i.e."
credit,p00071,Part 3: The Curriculum,Undergraduate Signature Work,Credits Required for Degree,24,Student Life & Support,8.5 courses; 1 course credit at Duke is equivalent to 4 Duke Kunshan University credits). The specific Chinese Society and Culture courses required by the Ministry of Education of China for Chinese students are optional for international students. Students should note that the Chinese Society and Culture courses are taught in Chinese and do not count toward the 136 credits for the Duke degree.
credit,p00072,Part 3: The Curriculum,Undergraduate Signature Work,Credits Required for Degree,24,Student Life & Support,"A total of 156 (Class of 2022) or 158 (Class of 2023 and beyond) Duke Kunshan University credits is required for Chinese students to graduate and obtain the degrees, including: (1) 136 Duke Kunshan University credits required for graduation with a Duke University bachelor’s degree, inclusive of 34 Duke Kunshan University credits earned through courses taught or co-taught by Duke faculty (i.e. 8.5 courses; 1 course credit at Duke is equivalent to 4 Duke Kunshan University credits); and (2) 20 (Class of 2022) or 22 (Class of 2023 and beyond) Duke Kunshan University credits required by the education administration authorities of China."
credit,p00074,Part 3: The Curriculum,Undergraduate Signature Work,Credits Required for Degree,25,Majors & Courses — Topic 2,"Class of 2022: For students from the Chinese mainland, the credit-bearing requirements specified by the education administration authorities of China are: (1) Chinese Society and Culture courses (16 credits in total); (2) Military training (2 credits); (3) Eight half-credit physical education courses (4 credits in total, 2 of which can count toward the 136 credits for the Duke degree), and passing the physical proficiency test set by Ministry of Education of China. The total required credits is 156, inclusive of the 136 credits required for all students. Students from Hong Kong, Macau, and Taiwan must meet the same requirements as those from the Chinese mainland."
credit,p00075,Part 3: The Curriculum,Undergraduate Signature Work,Credits Required for Degree,25,Majors & Courses — Topic 2,"However, they may substitute the military training credits with credits from specific designated Chinese studies courses, or they can voluntarily take military training to get the corresponding credits. Class of 2023 and Beyond: For students from the Chinese mainland, the credit-bearing requirements specified by the education administration authorities of China are: (1) Chinese Society and Culture courses (16 credits in total); (2) Military training (4 credits); (3) Eight half-credit physical education courses (4 credits in total, 2 of which can count toward the 136 credits for the Duke degree), and passing the physical proficiency test set by Ministry of Education of China."
credit,p00076,Part 3: The Curriculum,Undergraduate Signature Work,Credits Required for Degree,25,Majors & Courses — Topic 2,"The total required credits is 158, inclusive of the 136 credits required for all students. Students from Hong Kong, Macau, and Taiwan must meet the same requirements as those from the Chinese mainland. However, they may substitute the military training credits with credits from specific designated Chinese studies courses, or they can voluntarily take military training to get the corresponding credits."
credit,p00077,Part 3: The Curriculum,Undergraduate Signature Work,Course Credits,25,Student Life & Support,"Course credit at Duke Kunshan University follows the same standard as Duke University in terms of instruction hours and out-of-class study hours. Of the 136 credits required for a Duke University degree, a maximum of 8 credits passed with a D grade (D, D+, D-) can be used toward the 136 credits requirement."
credit,p00078,Part 3: The Curriculum,Undergraduate Signature Work,Course Credits,25,Student Life & Support,"The 136 credits may include (1) no more than 2 credits in physical education activity courses (i.e., four half-credit activity courses); (2) no more than eight elected credits taken on a Credit/No Credit grading basis (not including courses offered only on that basis); (3) no more than 40 credits combining any allowable transfer credits including AP/IPC, transfer credits for study abroad, etc.; and (4) no more than Duke Kunshan University equivalent of 24 credits in graduate and professional school courses not listed in the Duke Kunshan University Undergraduate Programs Bulletin."
credit,p00079,Part 3: The Curriculum,Undergraduate Signature Work,Course Credits,25,Student Life & Support,"These courses include all courses offered by Duke Kunshan University graduate programs, Duke schools of business, law, divinity, nursing, and all graduate courses numbered 700 and above. These courses are generally not open to undergraduates and require special permission to enroll. For limitations on transfer credit and Advanced Placement credit, see the sections on “Advanced Placement” and “Transfer of Work Taken Elsewhere” in Part 6: “Academic Procedures and Information”."
credit,p00080,Part 3: The Curriculum,Undergraduate Signature Work,Course Credits,26,Academic Procedures — Topic 2,"To meet the 136-credit requirement, students need to complete additional elective courses in addition to completing the General Education and Major Requirements . The curriculum is designed to enable a wide range of flexibility for students. Some may elect to use their full range of electives to go wide and broad while others may elect to dive deep into their areas of disciplinary study."
credit,p00081,Part 3: The Curriculum,Undergraduate Signature Work,Non-Credit Mini-Term Courses,26,Academic Procedures,"Mini-term courses are intensive, non-credit, non-graded, one-week short courses. There are two types of mini-term courses: o Exploratory Courses provide a focused exposure to a single topic while enabling students to move outside of their comfort zones. These courses encourage students to explore their intellectual interests and unfamiliar academic fields and locate their passions by offering short seminar-style courses in a risk-free setting. Exploratory courses are intended for the generalist with minimal or no pre-requisites and could be academically or experientially oriented. o Signature Work Courses provide structured time for sophomores or juniors to focus on planning or research for their Signature Work project."
credit,p00112,Part 5: Financial Information,Estimated Expenses,"Total Cost of Attendance ¥ 115,560 ¥ 115,260 ¥ 7,235",34,Academic Procedures — Topic 2,"sure you include or pay for the service charge before initiating your wire transfer. Your student account will be credited for the actual amount received (net of fees assessed by both the sending bank and the intermediary bank). Restriction on Past Due Accounts Tuition and fees are due before the start of each term. If your account remains unpaid, you will not be allowed to register for future terms and may be administratively withdrawn from the University. As long as your account is past due, you may not have access to academic transcripts, be able to have academic credits certified, or receive a diploma at graduation."
credit,p00113,Part 5: Financial Information,Estimated Expenses,"Total Cost of Attendance ¥ 115,560 ¥ 115,260 ¥ 7,235",34,Academic Procedures — Topic 2,"If your account remains outstanding after your departure from the University, it may be referred to a collection agency and reported to a credit bureau."
credit,p00114,Part 5: Financial Information,Refund,,34,Academic Procedures — Topic 2,"When students take a leave of absence, withdraw from the University, or are withdrawn by the University, an adjustment to tuition may occur, depending on the date and the reason for the withdrawal or leave of absence. If the tuition adjustment results in a credit balance, the student or parent may elect to have the balance refunded or carried forward for future terms. The University Tuition Withdrawal Adjustment policy is compliant with the Jiangsu Education Department’s regulations. The tuition withdrawal adjustment is calculated on a term basis as the tuition is charged and will be processed with all other refundable charges."
credit,p00126,Part 6: Academic Procedures and Information,Entrance Credit and Placement,• Advanced Placement Credit (AP) • International Placement Credit (IPC) • Prematriculation College Credit,37,Student Life & Support,"Scores on the tests listed below, documented previous educational experience, and DKU placement tests are the criteria that can be used to determine a student’s qualifications for certain advanced courses. In addition, a limited amount of elective course credit may be awarded on the basis of precollege examination and/or credits earned of the three types listed above. Duke Kunshan University will record on students’ permanent Duke Kunshan University records courses of these three types completed prior to their matriculation at Duke Kunshan University."
credit,p00127,Part 6: Academic Procedures and Information,Entrance Credit and Placement,• Advanced Placement Credit (AP) • International Placement Credit (IPC) • Prematriculation College Credit,37,Student Life & Support,"The three types of precollege work are regarded as equivalent and may be used for placement into higher-level coursework and to satisfy major requirements at Duke Kunshan University to the extent allowed by each major. Additionally, students may be granted up to 8 elective credits toward the degree requirement of 136 credits for any combination of AP, IPC or prematriculation credit. AP, IPC and prematriculation credits may not be used to satisfy the quantitative reasoning requirement or any other general education requirements. Enrollment in a course for which AP, IPC or prematriculation credit has been given will cause the AP, IPC or prematriculation credit to be forfeited."
credit,p00128,Part 6: Academic Procedures and Information,Entrance Credit and Placement,• Advanced Placement Credit (AP) • International Placement Credit (IPC) • Prematriculation College Credit,37,Student Life & Support,"All AP, IPC and prematriculation credits that Duke Kunshan University recognizes, along with the equivalent course, will appear on the DKU transcript. The University does not recognize any AP or IPC exams that are taken after a student begins at DKU nor does it recognize equivalent exams granting degree credit (CLEP, locally administered placement tests, etc.)."
credit,p00129,Part 6: Academic Procedures and Information,Entrance Credit and Placement,Forfeiture of Precollege Credit Awarded,37,Student Life & Support,"Students who successfully complete a course at Duke Kunshan University for which they received precollege credit may not use that precollege credit or any higher precollege credit in that subject to satisfy degree requirements, but the precollege work will remain on the Duke Kunshan University transcript. A student who enrolls in a course for which precollege credit was awarded and who subsequently fails or withdraws from the course after the Drop/Add deadline will be allowed to apply the pre-college credit toward graduation requirements according to the policy governing use of such credits (see above)."
credit,p00131,Part 6: Academic Procedures and Information,Entrance Credit and Placement,International Placement Credit (IPC),38,Student Life & Support,"Duke Kunshan University recognizes the International Baccalaureate Program; the French Baccalaureate; the British, Hong Kong, or Singapore A Level Examinations; the Cambridge pre-U; the Caribbean Advance Proficiency Examination; the German Abitur; the Swiss Federal Maturity Certificate; the All India Senior School Certificate Examination; the Indian School Certificate examination; and the Israeli Matriculation Certificate. Scores acceptable for consideration are determined by the faculty and evaluated by the Office of the Registrar. Course equivalents for these programs may be recorded on a student’s permanent Duke Kunshan University record for placement and credit according to the same policy governing use of AP (see above)."
credit,p00132,Part 6: Academic Procedures and Information,Entrance Credit and Placement,International Placement Credit (IPC),38,Academic Procedures — Topic 2,These credits may be used to satisfy the quantitative reasoning requirement but not other general education requirements; any combination of two IPC or AP courses may be used toward the required 136 credits for graduation.
credit,p00133,Part 6: Academic Procedures and Information,Entrance Credit and Placement,Prematriculation Credit,38,Student Life & Support,"First-year Duke Kunshan students may submit for evaluation college courses taken at another accredited college or university after commencement of the student’s junior year of high school. (For details concerning transferring this work, see the section “Work Taken During High School.”) Prematriculation credits awarded for such work may be used as electives and, thus, may not be used to satisfy the general education requirements. Any combination of eight prematriculation, IPC, or AP credits may be used toward the 136 credits required for graduation (credits do not have to be designated by the student)."
credit,p00134,Part 6: Academic Procedures and Information,Entrance Credit and Placement,Prematriculation Credit,38,Student Life & Support,"No prematriculation credit will be awarded for college coursework completed on a study abroad program undertaken prior to matriculation at Duke Kunshan. For any of the above three types of college-level work, students are expected to submit their scores and/or any other required documents during their first term on campus. After the first term, no entrance credits will be accepted."
credit,p00138,Part 6: Academic Procedures and Information,Entrance Credit and Placement,Placement in Languages,39,Majors & Courses — Topic 2,"In cases where students assigned to the CSL track feel they should be assigned to another track, they may make a request in writing to the Director of the Language and Culture Center. CSL-track students who are placed above CHIN 402 normally satisfy their language requirement by taking eight credits of advanced Chinese course electives above the CHIN 402 level. International students who demonstrate that they already have a full academic/professional command of Chinese can fulfill their language requirement by taking eight credits of a combination of the following kinds of courses: • Advanced Chinese courses covering areas where there is still room for improvement (e.g."
credit,p00140,Part 6: Academic Procedures and Information,Entrance Credit and Placement,Other Placement Tests,39,Student Life & Support,"Duke Kunshan University may offer additional placement tests in selected subjects for incoming students. Such tests will generally be offered during orientation, although some might be available online during the summer preceding matriculation. Students may be allowed to register for designated advanced courses based upon their scores on these tests. However, placement test results do not carry any academic credit. Placement tests give placement based on formal coursework taken prior to matriculation at Duke Kunshan and may not be taken by upper class students."
credit,p00141,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,,39,Student Life & Support,"A Duke Kunshan University student may receive credit for a maximum of 40 credits taken elsewhere, through a combination of AP/IPC credit or approved transfer or study away credit. Of"
credit,p00142,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,,40,Student Life & Support,"those 40 credits, a maximum of 8 may be from AP/IPC/prematriculation credits (see section on Entrance Credit and Placement) prior to matriculation, and a maximum of 8 may be from coursework undertaken while on voluntary leave of absence for personal or medical reasons. No credit will be accepted for coursework taken while a Duke Kunshan University student is withdrawn, suspended, or on involuntary leave of absence."
credit,p00143,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,Work Taken During High School,40,Student Life & Support,"College-level courses taken elsewhere prior to matriculation at Duke Kunshan may be considered for prematriculation credit provided they meet each of the following criteria: were taken after the commencement of the junior year of high school and yielded a grade of Bor better, not used to meet high school diploma requirements, taken on the college campus, taken in competition with degree candidates of the college, taught by a regular member of the college faculty, offered as part of the regular curriculum of the college, and not taken on a study abroad program completed prior to matriculation at Duke Kunshan."
credit,p00144,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,Work Taken During High School,40,Student Life & Support,Formal review of courses meeting these criteria will proceed after an official transcript of all college courses taken and documentation pertaining to these criteria are received by the university registrar. (See also the section on entrance credit in this chapter for a discussion of the number of prematriculation credits that can transfer and how they may be used at Duke Kunshan.)
credit,p00145,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,Work Taken After Matriculation at Duke Kunshan University,40,Student Life & Support,"All coursework undertaken after matriculation as a full-time degree-seeking student at Duke Kunshan University must be at another accredited four-year institution in the United States or similarly accredited institution abroad and with a liberal arts and general education curriculum. Duke Kunshan University students may study away for a fall or spring term and/or during the summer, either at Duke University or on a Duke Kunshan University-approved program sponsored by another university. In no instance may a student transfer more than 40 credits when combining study abroad, the allowable number of independent transfer courses, and AP/IPC credit."
credit,p00146,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,Work Taken After Matriculation at Duke Kunshan University,40,Student Life & Support,"Courses taken at other institutions could count toward the major if approved by the relevant academic unit. However, specific majors may place limits on the types of courses taken at Duke or other universities that can be counted toward the major. For courses taken at Duke University: All grades earned at Duke University are entered on the official record at Duke Kunshan University and are used in determining the grade point average. Courses taken at Duke University with CR/NC grading or the equivalent are accepted for transfer credit (See more information in the section on Credit/No Credit (CR/NC) Grading System)."
credit,p00147,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,Work Taken After Matriculation at Duke Kunshan University,40,Student Life & Support,"For courses taken at universities other than Duke University: Only those courses taken in which grades of Cor better have been earned are acceptable for transfer credit; courses taken at other institutions with CR/NC grading or the equivalent are not accepted for transfer credit. All other courses approved for transfer are listed on the student’s permanent record at Duke Kunshan University, but grades earned are not recorded or used in determining the grade point average."
credit,p00148,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,Work Taken After Matriculation at Duke Kunshan University,41,Student Life & Support,"Credit transfer is awarded by the Office of the Registrar, based upon recommendation of the faculty and outcome of the Host-DKU Credit Transfer Approval review process coordinated through the Office of Global Education. Courses may be determined to be: approved as fully equivalent to a DKU course; approved to fulfill a thematic area major requirement at DKU; approved as a general elective; or, denied eligibility for credit transfer. Courses approved for credit transfer at Duke Kunshan University may be given a 100 to 300 number, lower to upper level."
credit,p00149,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,Work Taken After Matriculation at Duke Kunshan University,41,Student Life & Support,"Once the limit of transferred credit has been reached, no additional transferred work will be displayed on the record or used as a substitute for a previously transferred course. Further information is available from the Office of Global Education. Approval forms for Duke Kunshan University students taking courses at institutions other than Duke Kunshan University and Duke University may be obtained online or from the Office of Global Education. Students wishing to transfer credit for study at another accredited college or university while on leave, on a DKU-approved study abroad program, or during the summer must complete and receive approval through published credit-transfer review processes."
credit,p00150,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,Work Taken After Matriculation at Duke Kunshan University,41,Student Life & Support,"No credit will be accepted for coursework taken while a Duke Kunshan University student is withdrawn, suspended, or on involuntary leave of absence."
credit,p00151,Part 6: Academic Procedures and Information,Transfer of Work Taken Elsewhere,Transfer Credit for Foreign Language,41,Student Life & Support,"The same rules that apply to the transferring of courses to meet other curriculum requirements apply to foreign language courses. Foreign language courses taken elsewhere and approved for transfer as credit to Duke Kunshan University may be considered in language placement, but students will still be asked to go through Duke Kunshan University’s Chinese language placement process in order to ensure that they are placed into the most appropriate Duke Kunshan University course for their proficiency level."
credit,p00156,Part 6: Academic Procedures and Information,Registration,Course Changes after Classes Begin in the Fall and Spring Terms (Class Drop/Add),42,Student Life & Support,"Students may drop and add courses during the Drop/Add period at their own discretion. Courses dropped during this period do not appear on the official Duke Kunshan transcript. After the Drop/Add period, no course may be added; also, a course may not be changed to or from the audit basis. A student may elect to change the grading basis to Credit/No Credit following the deadlines outlined in the section on Credit/No Credit Grading System."
credit,p00158,Part 6: Academic Procedures and Information,Registration,Withdrawal from a Course,42,Academic Procedures — Topic 2,"The deadline applies to course withdrawals for any reason other than medical. Coursework discontinued without the advisor’s permission will result in a grade of F. Withdrawing from a course is permitted in multiple fall/spring terms, as long as a student maintains a course load of at least 16 credits. Withdrawing from a course to an underload (fewer than 16 credits) is generally permitted only once in a fall or spring term. However, a student may begin another term in an underload with certain restrictions (see below). A student may also be permitted to withdraw to an underload more than once if there are significant medical reasons (see below)."
credit,p00159,Part 6: Academic Procedures and Information,Registration,Withdrawal from a Course,42,Academic Procedures — Topic 2,"Students are cautioned that taking an underload may result in a delayed graduation date. (See section on Satisfactory Performance Each Term (Term Credit Requirements).) If a student notes errors in his/her course schedule, he/she should immediately consult with his/her advisor during the one-week schedule correction period that occurs immediately after Drop/Add ends."
credit,p00161,Part 6: Academic Procedures and Information,Undergraduate Course Load,,43,Academic Procedures — Topic 2,"Students are reminded that it is their responsibility to be certain that their course load conforms with academic requirements. In fall and spring terms, the normal course load is 16-20 credits (8-10 credits in each 7-week session). In addition, students may enroll in up to one credit of PE courses without special permission from their advisor. In the first 7-week session of their first term, firstyear students are restricted to a maximum of 8 credits (one four-credit course, one two-credit language course, and one additional two-credit course), plus one PE course."
credit,p00162,Part 6: Academic Procedures and Information,Undergraduate Course Load,,43,Academic Procedures — Topic 2,"The maximum number of credits a student can take in any subsequent 7-week session without special permission is 10 (two 4-credit courses and one 2-credit course) plus one PE course. Students should note that in order to reach the 136 credits required for graduation, they will need 8 additional credits beyond the minimum course load of 16 credits per term for eight terms. These additional credits can be earned by any combination of terms in which a student registers for greater than the 16-credit minimum, AP and IPC credits, or transfer credits."
credit,p00163,Part 6: Academic Procedures and Information,Undergraduate Course Load,,43,Academic Procedures — Topic 2,"Students who enroll in or withdraw to an underload, earn a failing grade (F or NC), or repeat a course in any term should work with their academic advisor to develop a plan to make up credits in order to avoid a delayed graduation date. Students studying abroad at other institutions may be subject to that institution’s policies."
credit,p00164,Part 6: Academic Procedures and Information,Undergraduate Course Load,Students on Academic Probation,43,Academic Procedures — Topic 2,Students on academic probation may register for no more than 16 credits plus one PE course during the term of probation. The Dean of Undergraduate Studies may also limit the course load for a student who has previously received an academic warning. Students on academic probation are expected to remain in a full course load during the term of probation and will be permitted to withdraw to an underload only in extenuating circumstances.
credit,p00165,Part 6: Academic Procedures and Information,Undergraduate Course Load,Overload,43,Academic Procedures — Topic 2,"Only in exceptional cases and with special permission of both the academic advisor and the Dean of Undergraduate Studies or designee, could a student enroll in an overload (defined as more than 10 credits in a 7-week session or more than 20 credits in a term, exclusive of PE), up to a maximum of 24 credits. In determining whether to approve an overload, the academic advisor and the Dean of Undergraduate Studies will carefully consider the student’s academic history, including grades and the number of courses taken in the past. Students should not count on an overload later to compensate for a previous underload."
credit,p00166,Part 6: Academic Procedures and Information,Undergraduate Course Load,Underload,44,Academic Procedures — Topic 2,"Two categories of underloads (defined as a course load between 12 and 15 credits, exclusive of PE credits) may be authorized: withdrawal to underload and enrollment to underload. With the exception of medical, the maximum number of underloads under any circumstances (withdrawal or enrollment to an underload) is two terms. Students may make a request to their advisors to enroll in an underload up to twice during their time at Duke Kunshan University. A student may withdraw to an underload only once during their undergraduate career, although medical withdrawals are not counted in this number."
credit,p00167,Part 6: Academic Procedures and Information,Undergraduate Course Load,Underload,44,Academic Procedures — Topic 2,"Thus, there are only two possible enrollment patterns involving two underloads: • One withdrawal to an underload plus one enrollment in an underload, or • Two enrollments in an underload Students should take note that an underload may affect a student’s scholarship or ability to graduate on time; 8 additional credits above the minimum of 16 per term are needed in order to meet the 136 credits requirement for graduation. Students should not count on an overload later to compensate for a previous underload. Students taking an underload will be ineligible for the Dean’s list and the Dean’s List with Distinction during that term."
credit,p00168,Part 6: Academic Procedures and Information,Undergraduate Course Load,Underload,44,Academic Procedures — Topic 2,"Each term, the Office of the Registrar will review all students with an enrollment under 16 credits. Students in an unauthorized underload may be placed on involuntary administrative leave of absence and have to apply for reinstatement if they wish to return. (See section on Leave of Absence.) Seniors needing only 3 courses to graduate may request an underload for their last."
credit,p00169,Part 6: Academic Procedures and Information,Undergraduate Course Load,Underload,44,Academic Procedures — Topic 2,"Seniors who anticipate that they will need fewer than 3 courses to graduate must apply before the first day of classes in the last term for part-time degree status (11 or fewer credits, exclusive of PE), which is not affected by or a part of the underload enrollment policy described here."
credit,p00176,Part 6: Academic Procedures and Information,Undergraduate Course Load,Enrollment in an Underload,45,Academic Procedures — Topic 2,"Under certain specific circumstances, students with a strong academic record may start a term enrolled in an underload of between 12 and 15 credits (exclusive of PE). This is permitted a maximum of two times in a student’s academic career and requires approval of both the academic advisor and the Dean of Undergraduate Studies."
credit,p00177,Part 6: Academic Procedures and Information,Undergraduate Course Load,Enrollment in an Underload,45,Student Life & Support,"To enroll in an underload, a student must meet the following minimum criteria for eligibility: • Have a declared major • Have a GPA of at least 3.0 and not be on academic probation • Be enrolled on campus at Duke Kunshan – enrolling in an underload is not permitted when you are studying abroad or otherwise away from Duke Kunshan • For a first underload term: have already passed at least 64 credits • For a second underload term, have passed at least 84 credits prior to the 6 th term or 104 credits prior to the 7 th term, or 124 prior to the 8 th term (including"
credit,p00178,Part 6: Academic Procedures and Information,Undergraduate Course Load,Enrollment in an Underload,45,Academic Procedures — Topic 2,"AP, IPC, and transfer credits When considering whether to enroll in an underload, students should note that they: • will be ineligible for the Dean’s list and the Dean’s List with Distinction during that term; • may not withdraw from a course during the underload term; • must pass at least 12 course credits in order to meet term continuation requirements; and • may need to make up credits (e.g., in summer or in future terms) to stay on track for graduation."
