passage_id,chapter,section,subsection,page,section_novelty,text
p00737,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): MATH 101 or MATH 105; BIOL 110; MATH 205 or STATS 101,226,0.8880787491798401,BIOL 317 Systems Biology (4 credits) Introduction to concepts and applications of Systems Biology. Identification of molecular interactions that underlie cellular function using data acquired through high-throughput
p00738,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): MATH 101 or MATH 105; BIOL 110; MATH 205 or STATS 101,227,0.8788958787918091,"approaches. A focus on transcription networks, and the types of network motifs they contain, including feed-forward loops, autoregulation, and the single-input module will be discussed. Examples of networks in development will be covered."
p01263,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): PHYS 401,349,0.8778373599052429,"PHYS 404 Nonlinear Dynamics (4 credits) Introduction to the study of temporal patterns in nonequilibrium systems. Theoretical, computational, and experimental insights used to explain phase space, bifurcations, stability theory, universality, attractors, fractals, chaos, and time-series analysis. Each student carries out an individual research project on a topic in nonlinear dynamics and gives a formal presentation of the results."
p01044,Part 10: Majors and Courses,Course Descriptions,HIST 26 European History II (4 credits),296,0.8772603273391724,"Since, all identities are formed in relation to other identities, was an Asian identity formed in reaction to other forms of existing identities in the world? Taking the"
p00617,Part 10: Majors and Courses,Majors (listed in alphabetical order),Course Code Course Name Course Credit,176,0.8768079876899719,"MATSCI 201 Fundamentals of Materials Science 4 MATSCI 301 Materials Synthesis and Characterization (Lab) 4 MATSCI 302 Electronic, Optical and Magnetic Properties of Materia ls 4 MATSCI 401 Mechanical Properties of Materials 4"
p00893,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): ECON 101,261,0.8746906518936157,"We will discuss typical errors made by financial market participants as a result of behavioral biases, and examine the extent to which irrationality can affect financial markets at the aggregate level (“bubbles”), how long irrationality may persist, and what factors will eventually cause these bubbles to burst (“crashes”)."
p00744,Part 10: Majors and Courses,Course Descriptions,"Prerequisite(s): BIOL 201, BIOL 202",228,0.8640981316566467,"BIOL 404 Genomics of Adaptation (4 credits) Contemporary studies of how populations and species evolved adaptations to their ecological habitats. Focus on modern methods of genome mapping and sequence data and analysis in wild populations that can identify genetic changes that contributed to ecological adaptations. Emphasis on case studies of genomics of adaptation in plant and animal systems, including humans and our adaptations to environments that our ancestors encountered as they colonized diverse habitats throughout the world. Examples will also illustrate how speciation and hybridization can contribute to adaptive biodiversity."
p01276,Part 10: Majors and Courses,Course Descriptions,Courses with Course Subject: Physical Education (PHYSEDU),354,0.8630774021148682,"PHYSEDU 119 TRX Suspension Training (0.5 credit) TRX is an innovative suspension weight training used by various populations to improve strength, endurance, body tone and overall health and wellness. It is based on seven fundamental movements: push, pull, plank, rotation, hinge, lunge and squat, from which numerous variations and types of workouts are designed to target a specific goal. In this course, you will learn these fundamental movements, and how to create your own routines and adopt them to fit your own goals using TRX."
p01284,Part 10: Majors and Courses,Course Descriptions,Courses with Course Subject: Physical Education (PHYSEDU),355,0.8543674349784851,"PHYSEDU 127 Flag Football (0.5 credit) Flag football is one of the fastest-growing youth sports worldwide. The purpose of the game is fairly similar to the American football, in contrast to the full contact version, in flag football there is minimal physical contact, no physical tackling, diving, blocking, screening, or fumbles. As part of the course students will learn fundamentals skills and strategies of flag football, and certainly develop physical skills required to recreationally play flag football."
p00729,Part 10: Majors and Courses,Course Descriptions,"Prerequisite(s): BIOL 201, BIOL 202",225,0.8542823195457458,"BIOL 309 Comparative Vertebrate Anatomy (4 credits) The structure, function and evolution of the vertebrate body systems including skeletal, digestive, circulatory, respiratory and nervous systems. Emphasis on understanding the functional, evolutionary and developmental basis for the similarities and difference observed among living vertebrates. In addition, examination of the physiological principles that function within these systems using examples like neural control, gas exchange, movement, excretion and metabolism. The laboratory portion will examine the various systems (muscular, skeletal, nervous, etc.) of human and non-human anatomical specimens. It will also include experiments examining the physiological aspects of the nervous, and respiratory systems."
p00898,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): ECON 201 or PUBPOL 304,262,0.8535014986991882,"ECON 316 Discrete Time Finance (4 credits) This is a introductory course in mathematical models in ﬁnance, centered around the problem of pricing and hedging derivative securities. Due to the uncertainty inherent in the evolution of the stock market, the theory naturally involves probabilistic tools and structures such as conditioning, martingales and Markov processes. To focus on the main idea, we will work in discrete-time setting and a simple model so called binomial asset pricing model for most of the course. In addition, we will also discuss a foreign exchange model, an extension of the binomial model with a second currency and derives the Black-Scholes equation."
p01143,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): PHYS 401,321,0.8486865162849426,"biotechnology. Case studies include thermodynamics of block copolymer thin films and their applications in nanolithography, shape memory polymers, hydrogels, and elastomeric deformation and applications. Prerequisite(s): MATSCI 201; CHEM 201; PHYS 302 or CHEM 301"
p01158,Part 10: Majors and Courses,Course Descriptions,Prerequisite(s): MATH 101 or MATH 105; MATH 205,325,0.847826361656189,"MATH 316 Discrete Time Finance (4 credits) This is an introductory course in mathematical models in ﬁnance, centered around the problem of pricing and hedging derivative securities. Due to the uncertainty inherent in the evolution of the stock market, the theory naturally involves probabilistic tools and structures such as conditioning, martingales and Markov processes. To focus on the main idea, we will work in discrete-time setting and a simple model so called binomial asset pricing model for most of the course. In addition, we will also discuss a foreign exchange model, an extension of the binomial model with a second currency and derives the Black-Scholes equation."
p01116,Part 10: Majors and Courses,Course Descriptions,Courses with Course Subject: Literature (LIT),315,0.8423309326171875,"In stories, the end is always the same: the creature gets out of control, it threatens its creator and needs to be subdued. In this course, we will read stories of human effort to bring to life their own creations. We will discuss the literary features of such fantastical creations as the Golem, Frankenstein’s monster, Androids and AI. Over the term we will come to appreciate the human desires and fantasies associated with this figure, and ask what these robots and monsters can tell us about our own humanity."
p00620,Part 10: Majors and Courses,Majors (listed in alphabetical order),Course Code Course Name Course Credit,178,0.8417807817459106,"CHEM 201 Organic Chemistry I 4 MATSCI 201 Fundamentals of Materials Science 4 MATSCI 301 Materials Synthesis and Characterization (Lab) 4 MATSCI 302 Electronic, Optical and Magnetic Properties of Materia ls 4 MATSCI 401 Mechanical Properties of Materials 4"
